# Source-pixel seed coordinates: enclosed background only. Original RGB assets stay unchanged.
# key,x,y,role (clear=background; keep=opaque costume regression sample)
classic.idle,183,594,clear
classic.idle,966,546,clear
classic.idle,1071,789,clear
classic.idle,105,777,clear
classic.idle,228,426,clear
classic.idle,912,393,clear
classic.idle,519,762,keep
classic.happy,171,597,clear
classic.happy,969,543,clear
classic.happy,1071,789,clear
classic.happy,102,777,clear
classic.happy,234,429,clear
classic.happy,912,390,clear
classic.happy,519,762,keep
classic.sleep,339,570,clear
classic.sleep,774,504,clear
classic.sleep,144,717,clear
classic.sleep,975,651,clear
classic.sleep,1068,888,clear
classic.sleep,195,546,clear
classic.sleep,96,897,clear
classic.sleep,915,480,clear
classic.sleep,627,678,keep
dessert.idle,183,594,clear
dessert.idle,966,543,clear
dessert.idle,1071,789,clear
dessert.idle,105,780,clear
dessert.idle,228,426,clear
dessert.idle,927,390,clear
dessert.idle,582,744,keep
dessert.happy,171,597,clear
dessert.happy,966,543,clear
dessert.happy,1065,795,clear
dessert.happy,108,783,clear
dessert.happy,234,429,clear
dessert.happy,924,396,clear
dessert.happy,594,753,keep
dessert.sleep,762,495,clear
dessert.sleep,360,549,clear
dessert.sleep,177,687,clear
dessert.sleep,966,609,clear
dessert.sleep,99,873,clear
dessert.sleep,219,510,clear
dessert.sleep,1062,843,clear
dessert.sleep,918,453,clear
dessert.sleep,549,873,keep
heart.idle,183,594,clear
heart.idle,966,546,clear
heart.idle,1071,789,clear
heart.idle,105,777,clear
heart.idle,228,426,clear
heart.idle,912,393,clear
heart.idle,555,762,keep
heart.happy,171,597,clear
heart.happy,972,540,clear
heart.happy,1074,786,clear
heart.happy,108,783,clear
heart.happy,234,429,clear
heart.happy,915,387,clear
heart.happy,552,768,keep
heart.sleep,774,507,clear
heart.sleep,354,594,clear
heart.sleep,162,750,clear
heart.sleep,963,666,clear
heart.sleep,1062,909,clear
heart.sleep,201,579,clear
heart.sleep,108,942,clear
heart.sleep,921,483,clear
heart.sleep,642,669,keep
magic.idle,759,414,clear
magic.idle,363,441,clear
magic.idle,186,588,clear
magic.idle,963,546,clear
magic.idle,1068,789,clear
magic.idle,102,771,clear
magic.idle,234,429,clear
magic.idle,912,390,clear
magic.idle,528,1224,keep
magic.happy,759,414,clear
magic.happy,366,438,clear
magic.happy,171,594,clear
magic.happy,963,546,clear
magic.happy,1068,789,clear
magic.happy,102,771,clear
magic.happy,231,426,clear
magic.happy,912,390,clear
magic.happy,531,1227,keep
magic.sleep,783,462,clear
magic.sleep,363,546,clear
magic.sleep,978,600,clear
magic.sleep,141,717,clear
magic.sleep,1086,837,clear
magic.sleep,102,888,clear
magic.sleep,198,561,clear
magic.sleep,684,1194,keep
